"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"308";"6";"Bitange i Princeze";"Film and Animation";271000;108;4,05e+08;2020-07-19;"http://www.youtube.com/channel/UCr5sHB1DrLDtzeAhe1wy_0A"
"309";"6";"Edo Maajka";"Music";268000;23;7,16e+08;2020-06-16;"http://www.youtube.com/channel/UCR_PRJ1wwjfhmNefMottuRg"
"310";"6";"navi subliminals";"People & Blogs";264000;5;138000;2020-10-03;"http://www.youtube.com/channel/UChr2PzRSrhgIV1cXWMsWwVQ"
"311";"6";"Blitz Hrvatska";"Film and Animation";258000;1800;1,05e+08;2021-05-06;"http://www.youtube.com/channel/UCTsGuQLVlji2Z-f1VocGT9A"
"312";"6";"Gacka - Prozor - Lika";"Music";258000;587;1,86e+08;2020-10-25;"http://www.youtube.com/channel/UCw3YrvPm_bSUpF1BN2YdxnA"
"313";"6";"VoB";"Music";257000;26;1,42e+08;2021-03-31;"http://www.youtube.com/channel/UCQshANIyd9610OO5YshdRrg"
"314";"6";"dalajlamapeace";"Music";252000;4959;1,05e+08;2021-05-13;"http://www.youtube.com/channel/UC7Y4PlRv3_TMOkc3O21sJWQ"
"315";"6";"PC Crazy";"Science & Technology";250000;588;7,63e+08;2021-05-11;"http://www.youtube.com/channel/UCYlp-u4-BSWNIPEJ-5fhiNg"
"316";"6";"Kreten DomaÄ<U+0087>ica";"People & Blogs";250000;58;2,23e+08;2021-05-17;"http://www.youtube.com/channel/UC7qkcQ7f1r8Wmi49erDXoEg"
"317";"6";"MATKO";"Autos & Vehicles";247000;132;3,96e+08;2021-05-07;"http://www.youtube.com/channel/UCQ4n-1k0Mg-Vgvn2JIJa1sw"
"318";"6";"Sonja KovaÄ<U+008D>";"People & Blogs";246000;102;2,22e+08;2021-05-02;"http://www.youtube.com/channel/UCLvGhxceBJ4CnrASOzXX5AQ"
"319";"6";"Delta";"Gaming";246000;434;2,03e+08;2021-02-27;"http://www.youtube.com/channel/UCzkWSx21Zhkg1lQ3lu0MmKA"
"320";"6";"Dario A1iniÄ<U+0087>";"People & Blogs";246000;136;2,47e+08;2021-03-17;"http://www.youtube.com/channel/UCNqaiOIxg8brsTatVoGjx7Q"
"321";"7";"Žan Novosel";"Entertainment";241000;115;1,26e+08;2021-04-22;"http://www.youtube.com/channel/UCzm1ohiC0R5WbgVcYyXiYvw"
"322";"7";"Tech Watcher";"Science & Technology";240000;210;1,32e+08;2021-04-15;"http://www.youtube.com/channel/UC7PV2nijV7FbvHs7WPRzzkA"
"323";"7";"zoranfun80music";"Music";240000;395;1,3e+08;2019-01-24;"http://www.youtube.com/channel/UCFRWLKxlAIUkMBFBFt68LEQ"
"324";"7";"JUHUHU";"Music";238000;260;1,02e+08;2021-04-30;"http://www.youtube.com/channel/UCCb2UiZVlHjrYQXPYi6RSDw"
"325";"7";"DESTINO by Maja";"Entertainment";237000;697;7,43e+08;2021-05-14;"http://www.youtube.com/channel/UCKJg845elAK-7mq3vr-ix0A"
"326";"7";"Patricia Vodopija";"People & Blogs";237000;55;1,02e+08;2020-11-26;"http://www.youtube.com/channel/UC0fuQujLqC6AcYrkCSxKDfg"
"327";"7";"Hrvatski nogometni savez";"Sports";234000;487;6,52e+08;2021-04-28;"http://www.youtube.com/channel/UCsqWbe1Tp3ZkobTmcKqZmjg"
"328";"7";"ABA liga j.t.d.";"Sports";234000;6628;2,32e+08;2021-05-08;"http://www.youtube.com/channel/UCr2bLjnW_4gsiozQ5dJIT0A"
"329";"7";"Zuhra i Tin - Ocat i sin";"Entertainment";234000;145;5,76e+08;2021-05-04;"http://www.youtube.com/channel/UC02JH-Y_eW97tHUS03CAKqg"
"330";"7";"Ivana Plechinger";"Education";232000;219;2,93e+08;2021-05-12;"http://www.youtube.com/channel/UCrEOvcbjiTS9weWxqY16FtA"
"331";"7";"Oooh Boi";"Howto & Style";231000;43;1,19e+08;2021-05-07;"http://www.youtube.com/channel/UCm3cA4XD1FKMY5zDshpwcsA"
"332";"7";"Meho";"Gaming";230000;256;2,96e+08;2021-02-01;"http://www.youtube.com/channel/UCxWDBJEp9qPnLRDYVUtduWw"
"333";"7";"Jutarnji list";"Film and Animation";229000;6154;4,19e+08;2021-05-14;"http://www.youtube.com/channel/UCoygYX3L4vBCR4T-EhafUTg"
"334";"7";"Martina Medur";"Howto & Style";229000;68;7,11e+08;2017-09-18;"http://www.youtube.com/channel/UCuSpYVWowOyfzR1OeLVVxSA"
"335";"7";"DJ Bruda M";"Entertainment";227000;85;7,14e+08;2020-04-24;"http://www.youtube.com/channel/UCLk-TOMW8y-n1glwwCmbhrQ"
"336";"7";"Antonija Šola";"Music";227000;62;2,36e+08;2020-12-24;"http://www.youtube.com/channel/UCBuMgg-1IpfWstBTBHbrToA"
