name;lang;no;;genre;subscribers;videos;views;lastvideo;link
sprEEEzy;e;74;;Gaming;157000;736;29000000;4.5.2021;http://www.youtube.com/channel/UCNUfNaego-snWXd8vygfpAg
Damon Empero;e;75;;Music;154000;19;37400000;1.5.2021;http://www.youtube.com/channel/UCsGztxjStsz2AQaZYxVpXdA
KakoLako;h;76;;Comedy;152000;64;17600000;13.3.2021;http://www.youtube.com/channel/UCQoepmGP47BwoH2kUazt-HA
TV Zone;e;77;;Film and Animation;151000;23;87800000;24.3.2021;http://www.youtube.com/channel/UCnF4mBGc8_cNjHViSt20XAg
Naša mala klinika (NMK) Hrvatska HD;h;78;;Comedy;151000;113;188000000;1.4.2015;http://www.youtube.com/channel/UCxr7m2o9zjnjUUt4yeMXLqQ
MM. Mia;h;79;;Howto & Style;149000;290;33600000;2.5.2021;http://www.youtube.com/channel/UC3S-wwKL2bB0mDgggYA6PNA
BiBi Andy;h;80;;People & Blogs;148000;205;23100000;2.5.2021;http://www.youtube.com/channel/UC1OUTQ_3b9llyNAuLJRh3Qg
Epic Workshop;e;81;;Howto & Style;148000;41;10100000;30.4.2021;http://www.youtube.com/channel/UCYZm1vNmk0x_nqGu9wHKv0A
PETAR GRAŠO (official);h;82;;Music;143000;74;155000000;5.10.2020;http://www.youtube.com/channel/UCJU8bOKso4UDSys4w80Iq0A
CholaPC;h;83;;Gaming;142000;700;22700000;6.5.2021;http://www.youtube.com/channel/UC3F69BDZSL1bDmxxe20Qjyw
Breath Diving;e;84;;Pets & Animals;142000;30;80200000;9.2.2021;http://www.youtube.com/channel/UC0QkqCuSyg63x9mEnvA091Q
PvtMole;h;85;;Gaming;140000;1107;27200000;8.4.2021;http://www.youtube.com/channel/UCEwVcbhXuCpGFFj9b7Om5DQ
Let's Play Together;de;86;;People & Blogs;139000;16;22700000;27.7.2020;http://www.youtube.com/channel/UCURBkZiyZC0eYVTQr9_WKDA
PLANET LILLE;h;87;;Music;139000;341;164000000;9.5.2021;http://www.youtube.com/channel/UC9JUAPmWSmnyznDSXYmyvEQ
crospotter13;e;88;;Autos & Vehicles;138000;1366;105000000;1.6.2021;http://www.youtube.com/channel/UC2rGRfQ43ZzAeULkUgdb1Fw
Mr IMBUS;e;89;;Howto & Style;138000;51;42700000;16.4.2021;http://www.youtube.com/channel/UCDCDdX5N4ebK2LIXj3CfWWw
Tv Loki;h and e;90;;People & Blogs;135000;17276;151000000;13.5.2021;http://www.youtube.com/channel/UC5LNL3UojxJS_3alzkvr0Aw
DorianGames;h;91;;Entertainment;132000;1057;31600000;28.4.2021;http://www.youtube.com/channel/UCkYCP6OwuKIlFjgsoo2Hp0g
Mario Maras;h;92;;Entertainment;132000;101;84200000;16.4.2021;http://www.youtube.com/channel/UCk-PBV0snfSyr4HTfH8sC1Q
Minnemi;e;93;;Comedy;132000;129;27900000;22.5.2021;http://www.youtube.com/channel/UCHlhvMWUbrqfI5cvMmAvjsA
Ultimate Football Skills 2000;e;94;;Sports;132000;65;17800000;2.3.2021;http://www.youtube.com/channel/UCckbgQSiU1LsD6kEXQE-szQ
zzeebo;h;95;;Comedy;131000;64;26500000;29.7.2020;http://www.youtube.com/channel/UCIngZq74QuD7KEC420JgEmw
Mr. Mon?ina;h;96;;Entertainment;131000;121;14800000;5.4.2021;http://www.youtube.com/channel/UCMUhExepsYWB1_vzxRWrezw
Davor Gerbus;h;97;;People & Blogs;131000;121;11300000;13.5.2021;http://www.youtube.com/channel/UC6R6b-nXbO3sNw2bYVF-4Iw
Veronika Rosandic;h;98;;People & Blogs;128000;189;16600000;16.4.2021;http://www.youtube.com/channel/UCZbO0PnX_55YhP5Z0SgPfjg
Grupa Magazin;h;99;;Entertainment;127000;426;240000000;14.10.2020;http://www.youtube.com/channel/UC2lROwL6MZ9zuZ-sAUbDwSA
Scardona;h;100;;Music;125000;1220;267000000;13.5.2021;http://www.youtube.com/channel/UC9No7MMMurJWfP4JDf9fgyw
Gabudizator Conditioning;h;101;;Sports;124000;555;21400000;16.6.2021;http://www.youtube.com/channel/UC_TMJABetLXqZzSBNPsXd_A
