"";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"1006";"B&B_Agriculture";"Autos & Vehicles";1450;105;234000;"2021-05-08";"http://www.youtube.com/channel/UCFSKt5K1llIpKjVv3tNVf8g"
"1007";"tole_yt";"Gaming";1440;226;77300;"2021-04-21";"http://www.youtube.com/channel/UC00Cxq0D-SrCT1drRSXiR6g"
"1008";"Life of a Board Gamer";"Gaming";1430;593;224000;"2021-05-13";"http://www.youtube.com/channel/UC8faiaGSlBN-_fDSBajddMA"
"1009";"Damir Radnic";"News & Politics";1430;115;1520000;"2021-04-16";"http://www.youtube.com/channel/UCPcTDIJaaC9dcylA1HoWIug"
"1010";"Radohna Grmeèki";"Education";1430;74;30600;"2021-05-13";"http://www.youtube.com/channel/UCwNrXEzootIdcErA1jZ80Ww"
"1011";"Finding inspiration with Sandra";"Education";1420;63;38500;"2021-04-28";"http://www.youtube.com/channel/UCnybyg5ylFnRbZ8MGz06UCQ"
"1012";"Petra Dolezal";"Music";1410;4;12000;"2021-05-22";"http://www.youtube.com/channel/UCZlofVA2tI7v2anH1LB0d9Q"
"1013";"VOLIM & KUHAM";"People & Blogs";1410;65;289000;"2020-07-17";"http://www.youtube.com/channel/UCYMTLwhq8SgoafxnmW7_WQw"
"1014";"Spark Of Love";"Film and Animation";1410;294;801000;"2020-07-05";"http://www.youtube.com/channel/UC3Oaf1Znhr7JNdwobh5taUg"
"1015";"Lenovo Hrvatska";"Science & Technology";1410;212;3930000;"2021-04-26";"http://www.youtube.com/channel/UCtSjnvDjM7Ww4iuKOAo3WnQ"
"1016";"n0_rest";"Education";1400;210;1260000;"2020-05-07";"http://www.youtube.com/channel/UC6UHYZc9xkq0KZ4_rOXHfgw"
"1017";"d0mi";"Music";1400;303;241000;"2020-12-26";"http://www.youtube.com/channel/UCDwc6-VR6GzcJIT6MuMkD9A"
"1018";"The Military Channel";"News & Politics";1400;45;256000;"2021-05-20";"http://www.youtube.com/channel/UCnvARI97T8zzEbECB5qktRA"
"1019";"ChipTuning";"Autos & Vehicles";1400;201;1950000;"2021-06-17";"http://www.youtube.com/channel/UCowwyNoKULSWfUD8Y6TK60Q"
"1020";"Klassan";"Music";1390;47;352000;"2021-03-30";"http://www.youtube.com/channel/UCda_X38ZXMcUosw-CGB7CiA"
"1021";"DS Team";"People & Blogs";1370;73;24800;"2020-12-15";"http://www.youtube.com/channel/UC2e2DAn8xHe3neOUMKbGhcA"
"1022";"Helena";"Music";1370;13;403000;"2020-04-14";"http://www.youtube.com/channel/UCqEDf4AwM7ObeG8XtiH-0lA"
"1023";"100% Roker";"Music";1360;791;859000;"2021-06-13";"http://www.youtube.com/channel/UCEKIbown194qqnM-2PVGuHQ"
"1024";"The Gamers Squad";"Gaming";1360;249;443000;"2021-01-18";"http://www.youtube.com/channel/UCQ72qK3fSKay3r6jjfXJBpw"
"1025";"davorFishingvideos4You";"People & Blogs";1360;75;333000;"2021-05-25";"http://www.youtube.com/channel/UCBRGFJUmdCvEdHN4oxv1MbA"
"1026";"petrovafire";"Film and Animation";1360;134;137000;"2020-11-07";"http://www.youtube.com/channel/UCj0XCI1N4mbPblwWZ0QYO-g"
"1027";"Peky";"Gaming";1350;32;73900;"2021-04-14";"http://www.youtube.com/channel/UC_M-P2mck12w5M3G2q4tBQQ"
"1028";"Sinisa Garage";"Autos & Vehicles";1350;41;548000;"2021-05-11";"http://www.youtube.com/channel/UCcx8vf3zwAti4QTkmYRUv1w"
"1029";"MichaelK96";"Travel & Events";1350;25;32000;"2021-04-30";"http://www.youtube.com/channel/UCVrL8LpQB-qAW1j3J4mMAIQ"
"1030";"LeftY";"Gaming";1350;1458;1530000;"2021-05-22";"http://www.youtube.com/channel/UCHeT44EknGNhjlju9dNHHUQ"
"1031";"JGL";"Education";1350;88;19900000;"2021-05-06";"http://www.youtube.com/channel/UCRtSyD0xq-v58nUbIFhNqlQ"
"1032";"Tanel";"Gaming";1350;699;102000;"2021-05-10";"http://www.youtube.com/channel/UCcWKhMnjAOw6O8-uiIRk8HA"
"1033";"Starpoint Gemini";"Gaming";1340;99;694000;"2020-11-01";"http://www.youtube.com/channel/UCp4cLHe4Xmg4Agrs5wq7V5w"
"1034";"GAVEDU420";"Entertainment";1340;30;150000;"2020-02-11";"http://www.youtube.com/channel/UCMCuPbEZletwRBWuUhF5Wbg"
"1035";"Marijan Kaladiæ";"Autos & Vehicles";1330;968;2130000;"2021-05-11";"http://www.youtube.com/channel/UCdWw6VQeI2n_GfqUYEt4Wng"
"1036";"Lou Lou";"Film and Animation";1330;5;6810000;"2015-02-23";"http://www.youtube.com/channel/UCvLGSKTPuICJb2D91YX-rEg"
"1037";"Rlaxox";"Gaming";1320;142;725000;"2021-04-14";"http://www.youtube.com/channel/UCJd3-fbTnDP39fjEBiB27sQ"
"1038";"Tibor";"Music";1320;35;266000;"2020-04-04";"http://www.youtube.com/channel/UC7NMPqZ_t-J7MHO9kREwcEQ"
"1039";"B1ZTeam";"Autos & Vehicles";1320;73;320000;"2021-03-03";"http://www.youtube.com/channel/UC435dJcTPPELCTIxFYWUoaw"
"1040";"XCroF1";"Sports";1320;44;1660000;"2021-02-28";"http://www.youtube.com/channel/UC1RVTyf_EeqwsxCn6pWbx9w"
"1041";"mini FILM";"Science & Technology";1310;6;9130;"2021-01-03";"http://www.youtube.com/channel/UCzVYFgYFKGy_pFuswZBlu1A"
"1042";"Cresium";"Film and Animation";1300;48;153000;"2021-05-09";"http://www.youtube.com/channel/UCUmm3CtLYsL8Wodx7q_BOYA"
"1043";"Ivan Beliæ - IB Motivation";"Film and Animation";1290;5;715;"2021-04-29";"http://www.youtube.com/channel/UC-2sP0Qa8f6qAC4-XXgtnLg"
"1044";"Mato_HR";"Gaming";1290;230;300000;"2021-04-10";"http://www.youtube.com/channel/UCeWKmOXHaeUX_C9UU7zwkAw"
"1045";"Neon Mitsumi";"Music";1280;171;285000;"2021-05-16";"http://www.youtube.com/channel/UCJ6lQ5r8pvfPIK_0eYMVwBg"
"1046";"KokiHamHam";"Entertainment";1280;512;290000;"2020-07-18";"http://www.youtube.com/channel/UCbRLGMOsyGqiyCyGzTTHeTw"
"1047";"Crafty Chris";"Howto & Style";1280;191;85600;"2021-04-14";"http://www.youtube.com/channel/UCLsFdJLgAR6P1zIx4Nluyqg"
"1048";"Mario Krog";"Film and Animation";1280;505;2150000;"2011-08-01";"http://www.youtube.com/channel/UC8L-2-hoqfxECoi2_So25Iw"
"1049";"Frane Lovoševiæ";"Travel & Events";1260;617;1200000;"2020-12-11";"http://www.youtube.com/channel/UCEycfOna4rOULoPHKXervsQ"
"1050";"Dinka Jurièiæ";"Education";1260;110;533000;"2021-04-18";"http://www.youtube.com/channel/UC4vdT0wP1ozlVopztW34gXQ"
"1051";"LuckyTuber";"Gaming";1260;175;83800;"2021-04-14";"http://www.youtube.com/channel/UCo-VNhWmn9EWN8EGWHIEm8A"
"1052";"AstroMixchanell";"Travel & Events";1250;214;1070000;"2021-01-31";"http://www.youtube.com/channel/UCB_1v-Q8HKd9r3GJ0rT-xvQ"
"1053";"Innova Tehno 1943";"Science & Technology";1250;5;153000;"2017-01-23";"http://www.youtube.com/channel/UC6HPLA_-06b1ZWj7foNDXCQ"
"1054";"Me Tube";"People & Blogs";1240;5;127000;"2017-10-09";"http://www.youtube.com/channel/UCgpFzob17_qFoCv2MEiOTnQ"
"1055";"Jasmin Didoviæ";"People & Blogs";1230;25;437000;"2018-01-31";"http://www.youtube.com/channel/UCkNCl6C4ZrldMcIqKNrXf5Q"
"1056";"RS GamingCrew";"Gaming";1220;246;20100;"2021-05-18";"http://www.youtube.com/channel/UCMZ2mGjFZjrNNq2_C4daGaA"
"1057";"Damir Boz";"Music";1220;239;241000;"2021-06-21";"http://www.youtube.com/channel/UCXJiV1Q1VLLc24hu8t70ZQA"
