"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"419";"21";"Marijan Kaladiæ";"Autos & Vehicles";133000;968;2,13e+08;2021-05-11;"http://www.youtube.com/channel/UCdWw6VQeI2n_GfqUYEt4Wng"
"420";"21";"Lou Lou";"Film and Animation";133000;5;6,81e+08;2015-02-23;"http://www.youtube.com/channel/UCvLGSKTPuICJb2D91YX-rEg"
"421";"22";"Starpoint Gemini";"Gaming";134000;99;694000;2020-11-01;"http://www.youtube.com/channel/UCp4cLHe4Xmg4Agrs5wq7V5w"
"422";"22";"GAVEDU420";"Entertainment";134000;30;150000;2020-02-11;"http://www.youtube.com/channel/UCMCuPbEZletwRBWuUhF5Wbg"
"423";"22";"Peky";"Gaming";135000;32;739000;2021-04-14;"http://www.youtube.com/channel/UC_M-P2mck12w5M3G2q4tBQQ"
"424";"22";"Sinisa Garage";"Autos & Vehicles";135000;41;548000;2021-05-11;"http://www.youtube.com/channel/UCcx8vf3zwAti4QTkmYRUv1w"
"425";"22";"MichaelK96";"Travel & Events";135000;25;320000;2021-04-30;"http://www.youtube.com/channel/UCVrL8LpQB-qAW1j3J4mMAIQ"
"426";"22";"LeftY";"Gaming";135000;1458;1,53e+08;2021-05-22;"http://www.youtube.com/channel/UCHeT44EknGNhjlju9dNHHUQ"
"427";"22";"JGL";"Education";135000;88;1,99e+08;2021-05-06;"http://www.youtube.com/channel/UCRtSyD0xq-v58nUbIFhNqlQ"
"428";"22";"Tanel";"Gaming";135000;699;102000;2021-05-10;"http://www.youtube.com/channel/UCcWKhMnjAOw6O8-uiIRk8HA"
"429";"22";"100% Roker";"Music";136000;791;859000;2021-06-13;"http://www.youtube.com/channel/UCEKIbown194qqnM-2PVGuHQ"
"430";"22";"The Gamers Squad";"Gaming";136000;249;443000;2021-01-18;"http://www.youtube.com/channel/UCQ72qK3fSKay3r6jjfXJBpw"
